Name,Position,Salary,Tm,ERA,WHIP,ERAR,WHIPR,In_budget
Clay Holmes,RP/CL,1100000.0,NYY,2.54,1.021,0,0,0
Tyler Kinley,RP,1025000.0,COL,0.75,1.125,0,0,0
Taylor Clarke,RP,975000.0,KCR,4.04,1.184,0,0,0
Jeffrey Springs,SP,947500.0,TBR,2.46,1.071,0,0,0
Austin Adams,RP,925000.0,SDP,0.0,1.286,0,0,0
Jason Adam,RP,900000.0,TBR,1.56,0.758,0,0,0
Tanner Rainey,RP,860000.0,WSN,3.3,1.3,0,0,0
Buck Farmer,RP,850000.0,CIN,3.83,1.298,0,0,0
John Brebbia,RP,837500.0,SFG,3.18,1.309,0,0,0
Matt Bush,RP,825000.0,TOT,3.47,1.022,0,0,0
Dylan Cease,SP,750000.0,CHW,2.2,1.109,0,0,0
Jalen Beeks,RP,750000.0,TBR,2.8,1.164,0,0,0
Drew Smith,RP,750000.0,NYM,3.33,1.152,0,0,0
Cristian Javier,SP,749100.0,HOU,2.54,0.948,0,0,0
Zac Gallen,SP,745600.0,ARI,2.54,0.913,0,0,0
Alek Manoah,SP,730000.0,TOR,2.24,0.992,0,0,0
Tyler Rogers,RP,730000.0,SFG,3.57,1.269,0,0,0
Logan Webb,SP,730000.0,SFG,2.9,1.159,0,0,0
Michael Kopech,SP,730000.0,CHW,3.54,1.19,0,0,0
Jaime Barria,RP,730000.0,LAA,2.61,1.034,0,0,0
Nestor Cortes,SP,727500.0,NYY,2.44,0.922,0,0,0
Caleb Ferguson,RP,726500.0,LAD,1.82,1.154,0,0,0
Brady Singer,SP,726250.0,KCR,3.23,1.141,0,0,0
Kyle Finnegan,RP/CL,725900.0,WSN,3.51,1.14,0,0,0
Trevor Gott,RP,725000.0,MIL,4.14,1.029,0,0,0
Michael King,RP,722500.0,NYY,2.29,1.0,0,0,0
Ryan Helsley,RP/CL,722450.0,STL,1.25,0.742,0,0,0
Reese McGuire,C,722400.0,TOT,0.0,0.0,0,0,0
Nabil Crismatt,RP,721500.0,SDP,2.94,1.173,0,0,0
Cody Stashak,RP,720400.0,MIN,3.86,0.98,0,0,0
Kyle Wright,SP,720000.0,ATL,3.19,1.159,0,0,0
Brusdar Graterol,RP,720000.0,LAD,3.26,0.987,0,0,0
Evan Phillips,RP/CL,720000.0,LAD,1.14,0.762,0,0,0
Alex Vesia,RP,720000.0,LAD,2.15,1.123,0,0,0
Garrett Whitlock,RP,720000.0,BOS,3.45,1.021,0,0,0
Jimmy Herget,RP,720000.0,LAA,2.48,0.913,0,0,0
Bryan Abreu,RP,719600.0,HOU,1.94,1.177,0,0,0
Adbert Alzolay,RP,718250.0,CHC,3.38,0.825,0,0,0
Joe Mantiply,RP,717000.0,ARI,2.85,1.083,0,0,0
Tanner Houck,RP,716000.0,BOS,3.15,1.183,0,0,0
Connor Brogdon,RP,715000.0,PHI,3.27,1.25,0,0,0
David Bednar,RP/CL,715000.0,PIT,2.61,1.123,0,0,0
Devin Williams,RP/CL,714500.0,MIL,1.93,1.005,0,0,0
James Karinchak,RP,714500.0,CLE,2.08,1.103,0,0,0
Pete Fairbanks,RP/CL,714400.0,TBR,1.13,0.667,0,0,0
Jake Woodford,RP,714350.0,STL,2.23,1.117,0,0,0
Brock Burke,RP,714000.0,TEX,1.97,1.057,0,0,0
Tarik Skubal,SP,713600.0,DET,3.52,1.156,0,0,0
Anthony Bender,RP,713000.0,MIA,3.26,1.293,0,0,0
Clarke Schmidt,RP,712500.0,NYY,3.12,1.197,0,0,0
Logan Gilbert,SP,712300.0,SEA,3.2,1.18,0,0,0
Drew Rasmussen,SP,711800.0,TBR,2.84,1.041,0,0,0
Erik Swanson,RP,711600.0,SEA,1.68,0.913,0,0,0
Dillon Tate,RP,711500.0,BAL,3.05,0.991,0,0,0
Shane McClanahan,SP,711400.0,TBR,2.54,0.926,0,0,0
Jordan Romano,RP/CL,710400.0,TOR,2.11,1.016,0,0,0
Reid Detmers,SP,710000.0,LAA,3.77,1.209,0,0,0
Spencer Strider,SP,710000.0,ATL,2.67,0.995,0,0,0
Garrett Cleavinger,RP,710000.0,TOT,3.91,0.913,0,0,0
Keegan Akin,RP,709500.0,BAL,3.2,1.09,0,0,0
Steven Okert,RP,709000.0,MIA,2.98,1.169,0,0,0
J.P. Feyereisen,RP,708600.0,TBR,0.0,0.493,0,0,0
Triston McKenzie,SP,707100.0,CLE,2.96,0.951,0,0,0
Trent Thornton,RP,706200.0,TOR,4.11,1.239,0,0,0
Bailey Ober,SP,706200.0,MIN,3.21,1.054,0,0,0
Keegan Thompson,SP,706000.0,CHC,3.76,1.27,0,0,0
Dean Kremer,SP,705500.0,BAL,3.23,1.253,0,0,0
Matt Manning,SP,705300.0,DET,3.43,1.175,0,0,0
Hoby Milner,RP,705100.0,MIL,3.76,1.175,0,0,0
