Rk,Name,Full_Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
57,Randy Arozarena,Randy Arozarena,27,TBR,153,645,586,72,154,41,3,20,89,32,12,46,156,0.263,0.327,0.445,0.773,125,261,17,11,0,2,2
349,Oscar Gonzalez,Oscar Gonzalez,24,CLE,91,382,362,39,107,27,0,11,43,1,2,15,75,0.296,0.327,0.461,0.789,125,167,6,3,0,2,2
426,Nico Hoerner,Nico Hoerner,25,CHC,135,517,481,60,135,22,5,10,55,20,2,28,57,0.281,0.327,0.41,0.736,107,197,11,6,0,2,4
439,Jonathan India,Jonathan India,25,CIN,103,431,386,48,96,16,2,10,41,3,4,31,94,0.249,0.327,0.378,0.705,91,146,5,14,0,0,1
577,Ryan McMahon*,Ryan McMahon,27,COL,153,597,529,67,130,23,3,20,67,7,3,60,158,0.246,0.327,0.414,0.741,97,219,7,5,0,3,0
953,Christian Walker,Christian Walker,31,ARI,160,667,583,84,141,25,2,36,94,2,2,69,131,0.242,0.327,0.477,0.804,126,278,15,8,0,7,2
311,Wander Franco#,Wander Franco,21,TBR,83,344,314,46,87,20,3,6,33,8,0,26,33,0.277,0.328,0.417,0.746,118,131,5,0,0,4,1
437,José Iglesias,José Iglesias,32,COL,118,467,439,48,128,30,0,3,47,2,3,17,56,0.292,0.328,0.38,0.708,89,167,11,8,0,3,0
934,Alex Verdugo*,Alex Verdugo,26,BOS,152,644,593,75,166,39,1,11,74,1,3,42,86,0.28,0.328,0.405,0.732,102,240,14,3,0,6,2
624,Max Muncy*,Max Muncy,31,LAD,136,565,464,69,91,22,1,21,69,2,0,90,141,0.196,0.329,0.384,0.713,98,178,2,5,0,6,1
882,Dansby Swanson,Dansby Swanson,28,ATL,162,696,640,99,177,32,1,25,96,18,7,49,182,0.277,0.329,0.447,0.776,114,286,12,3,0,4,0
168,Corbin Carroll*,Corbin Carroll,21,ARI,32,115,104,13,27,9,2,4,14,2,1,8,31,0.26,0.33,0.5,0.83,133,52,1,3,0,0,0
420,Aaron Hicks#,Aaron Hicks,32,NYY,130,453,384,54,83,9,2,8,40,10,3,62,109,0.216,0.33,0.313,0.642,86,120,10,4,1,2,3
914,Kyle Tucker*,Kyle Tucker,25,HOU,150,609,544,71,140,28,1,30,107,25,4,59,95,0.257,0.33,0.478,0.808,127,260,11,1,0,2,4
272,Nate Eaton,Nate Eaton,25,KCR,44,122,106,16,28,4,3,1,12,11,1,10,30,0.264,0.331,0.387,0.717,103,41,2,2,1,3,0
659,Rafael Ortega*,Rafael Ortega,31,CHC,118,371,316,35,76,14,1,7,35,12,7,44,74,0.241,0.331,0.358,0.688,95,113,10,2,1,7,2
724,Jurickson Profar#,Jurickson Profar,29,SDP,152,658,575,82,140,36,2,15,58,5,1,73,103,0.243,0.331,0.391,0.723,110,225,12,4,3,3,0
937,David Villar,David Villar,25,SFG,52,181,156,21,36,6,1,9,24,0,1,18,58,0.231,0.331,0.455,0.787,121,71,4,6,0,1,0
212,Jake Cronenworth*,Jake Cronenworth,28,SDP,158,684,587,88,140,30,4,17,88,3,0,70,131,0.239,0.332,0.39,0.722,110,229,2,16,0,8,3
428,Rhys Hoskins,Rhys Hoskins,29,PHI,156,672,589,81,145,33,2,30,79,2,1,72,169,0.246,0.332,0.462,0.794,124,272,12,6,0,4,0
566,Chas McCormick,Chas McCormick,27,HOU,119,407,359,47,88,12,2,14,44,4,3,46,106,0.245,0.332,0.407,0.738,109,146,5,1,0,1,0
627,Sean Murphy,Sean Murphy,27,OAK,148,612,537,67,134,37,2,18,66,1,0,56,124,0.25,0.332,0.426,0.759,122,229,14,13,0,5,2
876,Eugenio Suárez,Eugenio Suárez,30,SEA,150,629,543,76,128,24,2,31,87,0,0,73,196,0.236,0.332,0.459,0.791,127,249,12,8,0,5,0
106,Bo Bichette,Bo Bichette,24,TOR,159,697,652,91,189,43,1,24,93,13,8,41,155,0.29,0.333,0.469,0.802,128,306,21,2,0,2,0
125,Rob Brantly*,Rob Brantly,32,NYY,1,3,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1,178,2,0,0,0,0,0
393,Adam Haseley*,Adam Haseley,26,CHW,14,25,21,4,5,0,0,0,2,0,0,3,7,0.238,0.333,0.238,0.571,66,5,0,0,1,0,0
568,Mickey McDonald#,Mickey McDonald,27,OAK,4,6,4,0,0,0,0,0,0,0,0,2,3,0,0.333,0,0.333,10,0,0,0,0,0,0
608,Nate Mondou*,Nate Mondou,27,OAK,1,3,2,0,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,10,0,0,0,0,0,0
657,Edward Olivares,Edward Olivares,26,KCR,53,174,161,24,46,8,0,4,15,2,3,10,36,0.286,0.333,0.41,0.743,110,66,1,2,0,1,0
696,Roberto Pérez,Roberto Pérez,33,PIT,21,69,60,8,14,2,0,2,8,0,0,9,25,0.233,0.333,0.367,0.7,99,22,1,0,0,0,0
790,Eguy Rosario,Eguy Rosario,22,SDP,7,6,5,0,1,0,0,0,0,0,0,1,2,0.2,0.333,0.2,0.533,61,1,0,0,0,0,0
823,Pedro Severino,Pedro Severino,28,MIL,8,21,18,0,4,2,0,0,1,0,0,3,7,0.222,0.333,0.333,0.667,92,6,0,0,0,0,0
974,Marcus Wilson,Marcus Wilson,25,SEA,3,6,5,1,1,0,0,0,0,0,0,1,4,0.2,0.333,0.2,0.533,61,1,0,0,0,0,0
429,Eric Hosmer*,Eric Hosmer,32,TOT,104,419,380,38,102,19,0,8,44,0,0,37,64,0.268,0.334,0.382,0.716,108,145,12,1,0,1,5
380,Sam Haggerty#,Sam Haggerty,28,SEA,83,201,176,29,45,9,1,5,23,13,1,18,53,0.256,0.335,0.403,0.738,114,71,4,4,1,2,3
918,Luis Urías,Luis Urías,25,MIL,119,472,406,54,97,17,1,16,47,1,2,50,99,0.239,0.335,0.404,0.739,110,164,9,11,0,5,0
148,Alex Call,Alex Call,27,TOT,47,131,114,18,27,3,1,5,13,3,3,15,30,0.237,0.336,0.412,0.748,116,47,2,2,0,0,0
284,Stuart Fairchild,Stuart Fairchild,26,TOT,46,110,97,14,24,4,1,5,6,0,2,8,34,0.247,0.336,0.464,0.8,115,45,1,5,0,0,0
818,Jean Segura,Jean Segura,32,PHI,98,387,354,45,98,9,0,10,33,13,6,25,58,0.277,0.336,0.387,0.723,106,137,16,7,0,1,1
880,Seiya Suzuki,Seiya Suzuki,27,CHC,111,446,397,54,104,22,2,14,46,9,5,42,110,0.262,0.336,0.433,0.77,116,172,8,4,0,3,3
206,Garrett Cooper,Garrett Cooper,31,MIA,119,469,414,37,108,33,2,9,50,0,0,40,119,0.261,0.337,0.415,0.752,114,172,6,10,0,5,0
309,Ty France,Ty France,27,SEA,140,613,551,65,151,27,1,20,83,0,0,35,94,0.274,0.338,0.436,0.774,123,240,18,21,0,5,3
449,Connor Joe,Connor Joe,29,COL,111,467,404,56,96,20,4,7,28,6,2,55,97,0.238,0.338,0.359,0.697,87,145,8,7,0,1,0
