Name,Position,Salary
Travis d'Arnaud,C,"$8,000,000"
Adam Frazier,2B,"$8,000,000"
Kyle Gibson,SP,"$8,000,000"
Seiya Suzuki,RF,"$8,000,000"
Yulieski Gurriel,1B,"$8,000,000"
Hector Neris,RP,"$8,000,000"
Blake Treinen,RP,"$8,000,000"
Julio Urias,SP,"$8,000,000"
Will Harris,RP,"$8,000,000"
Kendall Graveman,RP,"$8,000,000"
Enrique Hernandez,CF,"$8,000,000"
Vladimir Guerrero Jr.,1B,"$7,900,000"
Mitch Haniger,RF,"$7,750,000"
Trevor May,RP/CL,"$7,750,000"
Tucker Barnhart,C,"$7,750,000"
Rhys Hoskins,1B,"$7,700,000"
Hunter Renfroe,RF,"$7,650,000"
Trey Mancini,1B,"$7,500,000"
Aaron Loup,RP,"$7,500,000"
Jonathan Schoop,2B,"$7,500,000"
Lucas Giolito,SP,"$7,450,000"
Pete Alonso,1B,"$7,400,000"
Luis Castillo,SP,"$7,350,000"
Jurickson Profar,LF,"$7,333,333"
Eloy Jimenez,LF,"$7,333,333"
Taylor Rogers,RP,"$7,300,000"
Walker Buehler,SP,"$7,250,000"
C.J. Cron,1B,"$7,250,000"
Antonio Senzatela,SP,"$7,250,000"
Temarr Johnson,2B,"$7,219,000"
Christian Vazquez,C,"$7,000,000"
Mike Zunino,C,"$7,000,000"
Joe Kelly,RP,"$7,000,000"
Kyle Freeland,SP,"$7,000,000"
Scott Oberg,RP,"$7,000,000"
Ha-seong Kim,SS,"$7,000,000"
Mark Melancon,RP,"$7,000,000"
Brandon Nimmo,CF,"$7,000,000"
Taijuan Walker,SP,"$7,000,000"
Michael Wacha,SP,"$7,000,000"
Whit Merrifield,2B,"$7,000,000"
Ryan Tepera,RP,"$7,000,000"
Max Fried,SP,"$6,850,000"
Ian Happ,LF,"$6,850,000"
Brandon Woodruff,SP,"$6,800,000"
Bryan Reynolds,CF,"$6,750,000"
Max Kepler,RF,"$6,750,000"
Michael Lorenzen,SP,"$6,750,000"
Giovanny Urshela,3B,"$6,550,000"
Corbin Burnes,SP,"$6,500,000"
Elijah Green,CF,"$6,500,000"
Gleyber Torres,2B,"$6,250,000"
Jesse Winker,LF,"$6,250,000"
Paul DeJong,SS,"$6,166,666"
J.P. Crawford,SS,"$6,000,000"
Yan Gomes,C,"$6,000,000"
Brad Hand,RP,"$6,000,000"
Shane Bieber,SP,"$6,000,000"
Daniel Hudson,RP/CL,"$6,000,000"
Jordan Lyles,SP,"$6,000,000"
Jordan Montgomery,SP,"$6,000,000"
Luis Robert,CF,"$6,000,000"
Nick Martinez,RP,"$6,000,000"
Robert Suarez,RP,"$6,000,000"
Jacob Berry,1B,"$6,000,000"
Brad Miller,LF,"$6,000,000"
James Paxton,SP,"$6,000,000"
Joc Pederson,LF,"$6,000,000"
Tommy Pham,LF,"$6,000,000"
Andrew Chafin,RP/CL,"$6,000,000"
Jameson Taillon,SP,"$5,800,000"
Jeimer Candelario,3B,"$5,800,000"
Marco Gonzales,SP,"$5,750,000"
Fernando Tatis Jr.,SS,"$5,714,286"
Brooks Lee,SS,"$5,675,000"
Manuel Margot,RF,"$5,600,000"
Zach Eflin,RP,"$5,550,000"
Jorge Polanco,2B,"$5,500,000"
Leury Garcia,2B,"$5,500,000"
Miguel Rojas,SS,"$5,500,000"
Rich Hill,SP,"$5,500,000"
Yimi Garcia,RP,"$5,500,000"
Shohei Ohtani,SP,"$5,500,000"
Luke Voit,DH,"$5,450,000"
Merrill Kelly,SP,"$5,250,000"
Jose Leclerc,RP/CL,"$5,250,000"
Tommy La Stella,DH,"$5,250,000"
Gavin Cross,RF,"$5,202,900"
Matt Boyd,RP,"$5,200,000"
Tyler Mahle,SP,"$5,200,000"
Kumar Rocker,SP,"$5,200,000"
Kole Calhoun,LF,"$5,200,000"
David Robertson,RP/CL,"$5,100,000"
Tyler Glasnow,SP,"$5,100,000"
Frankie Montas,SP,"$5,025,000"
Kevin Parada,C,"$5,019,735"
Omar Narvaez,C,"$5,000,000"
Ozzie Albies,2B,"$5,000,000"
Robbie Grossman,LF,"$5,000,000"
Roberto Perez,C,"$5,000,000"
Martin Maldonado,C,"$5,000,000"
Corey Dickerson,LF,"$5,000,000"
Jack Flaherty,SP,"$5,000,000"
Jose Iglesias,SS,"$5,000,000"
Ryan McMahon,3B,"$5,000,000"
Adam Ottavino,RP,"$5,000,000"
Cam Collier,3B,"$5,000,000"
Amed Rosario,SS,"$4,950,000"
Michael Fulmer,RP/CL,"$4,950,000"
Lourdes Gurriel Jr.,LF,"$4,928,571"
Christian Vaquero,OF,"$4,900,000"
Brad Keller,RP,"$4,825,000"
Dinelson Lamet,RP,"$4,775,000"
Jason Castro,C,"$4,750,000"
Hunter Dozier,1B,"$4,750,000"
Harrison Bader,CF,"$4,700,000"
Isiah Kiner-Falefa,SS,"$4,700,000"
Michael Taylor,CF,"$4,650,000"
Willy Adames,SS,"$4,600,000"
Jace Jung,2B,"$4,590,300"
Franmil Reyes,DH,"$4,550,000"
Joe Wendle,3B,"$4,550,000"
Trevor Rosenthal,RP,"$4,500,000"
Cesar Hernandez,2B,"$4,500,000"
Ian Kennedy,RP,"$4,500,000"
Donovan Solano,2B,"$4,500,000"
Brian Anderson,3B,"$4,475,000"
Cade Horton,SP,"$4,450,000"
Aledmys Diaz,SS,"$4,450,000"
Daniel Bard,RP/CL,"$4,400,000"
Drew Smyly,SP,"$4,250,000"
Brooks Raley,RP,"$4,250,000"
Connor Godwin,P,"$4,200,000"
Johnny Cueto,SP,"$4,200,000"
Alex Colome,RP,"$4,100,000"
Tyler Naquin,DH,"$4,025,000"
Collin McHugh,RP,"$4,000,000"
Roderick Arias,SS,"$4,000,000"
Chad Green,RP,"$4,000,000"
Austin Hedges,C,"$4,000,000"
Dylan Bundy,SP,"$4,000,000"
Brandon Lowe,2B,"$4,000,000"
Josh Harrison,2B,"$4,000,000"
Gabriel Hughes,SP,"$4,000,000"
Craig Stammen,RP,"$4,000,000"
Martin Perez,SP,"$4,000,000"
David Fletcher,SS,"$4,000,000"
Austin Meadows,LF,"$4,000,000"
Austin Riley,3B,"$3,950,000"
Raimel Tapia,RF,"$3,950,000"
Seth Lugo,RP,"$3,925,000"
Dylan Lesko,SP,"$3,900,000"
Jett Williams,CF,"$3,900,000"
Trevor Williams,RP,"$3,900,000"
Justin Crawford,CF,"$3,894,800"
Ryan Yarbrough,SP,"$3,850,000"
Sandy Alcantara,SP,"$3,800,000"
Ross Stripling,SP,"$3,790,000"
Chase DeLauter,RF,"$3,750,000"
Archie Bradley,RP,"$3,750,000"
Tommy Kahnle,RP,"$3,725,000"
Brock Porter,SP,"$3,700,000"
Mike Yastrzemski,CF,"$3,700,000"
Luke Jackson,RP,"$3,600,000"
Brandon Barriera,SP,"$3,597,500"
